genome_id	Type	Species
NP1	Sample	bivia
NP2	Sample	bivia
NP4	Sample	bivia
NP5	Sample	bivia
NP8	Sample	bivia
OP1	Sample	bivia
OP2	Sample	bivia
OP3	Sample	bivia
OP4	Sample	bivia
OP5	Sample	bivia
OP6	Sample	bivia
OP7	Sample	bivia
OP8	Sample	bivia
RP1	Sample	bivia
RP3	Sample	bivia
SP1	Sample	bivia
SP2	Sample	bivia
SP3	Sample	bivia
SP4	Sample	bivia
SP5	Sample	bivia
SP6	Sample	bivia
SP7	Sample	bivia
SP8	Sample	bivia
UP1	Sample	bivia
UP2	Sample	bivia
UP3	Sample	bivia
UP4	Sample	bivia
XP1	Sample	disiens
XP2	Sample	disiens
XP3	Sample	disiens
XP4	Sample	disiens
XP5	Sample	disiens
XP6	Sample	disiens
XP7	Sample	disiens
XP8	Sample	disiens
XP9	Sample	disiens
XP10	Sample	disiens
XP11	Sample	disiens
XP12	Sample	disiens
TP1	Sample	disiens
TP2	Sample	disiens
TP3	Sample	disiens
TP4	Sample	disiens
TP5	Sample	disiens
TP6	Sample	disiens
TP7	Sample	disiens
TP8	Sample	disiens
TP9	Sample	disiens
TP10	Sample	disiens
TP11	Sample	disiens
TP12	Sample	disiens
TP13	Sample	disiens
TP14	Sample	disiens
TP15	Sample	disiens
TP16	Sample	disiens
TP17	Sample	disiens
TP18	Sample	disiens
PB	Reference	bivia
PD	Reference	disiens
VM	Reference	montpellierensis
