genome_id	species
NP1	bivia
NP2	bivia
NP4	bivia
NP5	bivia
NP8	bivia
OP1	bivia
OP2	bivia
OP3	bivia
OP4	bivia
OP5	bivia
OP6	bivia
OP7	bivia
OP8	bivia
RP1	bivia
RP3	bivia
SP1	bivia
SP2	bivia
SP3	bivia
SP4	bivia
SP5	bivia
SP6	bivia
SP7	bivia
SP8	bivia
UP1	bivia
UP2	bivia
UP3	bivia
UP4	bivia
XP1	disiens
XP2	disiens
XP3	disiens
XP4	disiens
XP5	disiens
XP6	disiens
XP7	disiens
XP8	disiens
XP9	disiens
XP10	disiens
XP11	disiens
XP12	disiens
TP1	disiens
TP2	disiens
TP3	disiens
TP4	disiens
TP5	disiens
TP6	disiens
TP7	disiens
TP8	disiens
TP9	disiens
TP10	disiens
TP11	disiens
TP12	disiens
TP13	disiens
TP14	disiens
TP15	disiens
TP16	disiens
TP17	disiens
TP18	disiens
