item_name	data_key	data_value	data_type	data_group
NP1	total_length	3838837	int	default
NP1	gc_content	0.373669160738005	float	default
NP1	percent_completion	100	float	default
NP1	percent_redundancy	101.408450704225	float	default
NP1	num_genes	3530	int	default
NP1	avg_gene_length	962.360056657224	float	default
NP1	num_genes_per_kb	0.919549332258702	float	default
NP1	singleton_gene_clusters	147	int	default
NP1	num_gene_clusters	3302	int	default
NP2	total_length	2546135	int	default
NP2	gc_content	0.397573577206236	float	default
NP2	percent_completion	100	float	default
NP2	percent_redundancy	2.8169014084507	float	default
NP2	num_genes	2313	int	default
NP2	avg_gene_length	959.400778210117	float	default
NP2	num_genes_per_kb	0.90843572709224	float	default
NP2	singleton_gene_clusters	3	int	default
NP2	num_gene_clusters	2105	int	default
NP4	total_length	4225558	int	default
NP4	gc_content	0.403303421701939	float	default
NP4	percent_completion	100	float	default
NP4	percent_redundancy	100	float	default
NP4	num_genes	3625	int	default
NP4	avg_gene_length	1019.78317241379	float	default
NP4	num_genes_per_kb	0.857874865284064	float	default
NP4	singleton_gene_clusters	8	int	default
NP4	num_gene_clusters	3387	int	default
NP5	total_length	4204393	int	default
NP5	gc_content	0.405815536273607	float	default
NP5	percent_completion	100	float	default
NP5	percent_redundancy	102.816901408451	float	default
NP5	num_genes	3667	int	default
NP5	avg_gene_length	1003.02263430597	float	default
NP5	num_genes_per_kb	0.872182976234619	float	default
NP5	singleton_gene_clusters	34	int	default
NP5	num_gene_clusters	3425	int	default
NP8	total_length	6030829	int	default
NP8	gc_content	0.398946977272942	float	default
NP8	percent_completion	100	float	default
NP8	percent_redundancy	250.704225352113	float	default
NP8	num_genes	7091	int	default
NP8	avg_gene_length	748.003948667325	float	default
NP8	num_genes_per_kb	1.17579191849081	float	default
NP8	singleton_gene_clusters	190	int	default
NP8	num_gene_clusters	4800	int	default
OP1	total_length	4232907	int	default
OP1	gc_content	0.406802464594663	float	default
OP1	percent_completion	100	float	default
OP1	percent_redundancy	101.408450704225	float	default
OP1	num_genes	3862	int	default
OP1	avg_gene_length	956.365354738477	float	default
OP1	num_genes_per_kb	0.912375348667004	float	default
OP1	singleton_gene_clusters	2	int	default
OP1	num_gene_clusters	3408	int	default
OP2	total_length	2586283	int	default
OP2	gc_content	0.398473407589193	float	default
OP2	percent_completion	100	float	default
OP2	percent_redundancy	2.8169014084507	float	default
OP2	num_genes	2429	int	default
OP2	avg_gene_length	923.410868670235	float	default
OP2	num_genes_per_kb	0.939185696228912	float	default
OP2	singleton_gene_clusters	1	int	default
OP2	num_gene_clusters	2111	int	default
OP3	total_length	4221540	int	default
OP3	gc_content	0.407748830995324	float	default
OP3	percent_completion	100	float	default
OP3	percent_redundancy	101.408450704225	float	default
OP3	num_genes	3758	int	default
OP3	avg_gene_length	980.998403406067	float	default
OP3	num_genes_per_kb	0.890196468587293	float	default
OP3	singleton_gene_clusters	5	int	default
OP3	num_gene_clusters	3346	int	default
OP4	total_length	4225533	int	default
OP4	gc_content	0.406569301434872	float	default
OP4	percent_completion	100	float	default
OP4	percent_redundancy	101.408450704225	float	default
OP4	num_genes	3968	int	default
OP4	avg_gene_length	930.170110887097	float	default
OP4	num_genes_per_kb	0.939053132468732	float	default
OP4	singleton_gene_clusters	18	int	default
OP4	num_gene_clusters	3441	int	default
OP5	total_length	4129916	int	default
OP5	gc_content	0.407625966242413	float	default
OP5	percent_completion	100	float	default
OP5	percent_redundancy	107.042253521127	float	default
OP5	num_genes	4506	int	default
OP5	avg_gene_length	800.272969374168	float	default
OP5	num_genes_per_kb	1.09106335334665	float	default
OP5	singleton_gene_clusters	38	int	default
OP5	num_gene_clusters	3468	int	default
OP6	total_length	4863011	int	default
OP6	gc_content	0.40888309732386	float	default
OP6	percent_completion	100	float	default
OP6	percent_redundancy	159.154929577465	float	default
OP6	num_genes	5567	int	default
OP6	avg_gene_length	763.472247170828	float	default
OP6	num_genes_per_kb	1.1447640155451	float	default
OP6	singleton_gene_clusters	111	int	default
OP6	num_gene_clusters	3964	int	default
OP7	total_length	5635020	int	default
OP7	gc_content	0.408070068961601	float	default
OP7	percent_completion	100	float	default
OP7	percent_redundancy	164.788732394366	float	default
OP7	num_genes	5168	int	default
OP7	avg_gene_length	954.693691950464	float	default
OP7	num_genes_per_kb	0.917121855823049	float	default
OP7	singleton_gene_clusters	41	int	default
OP7	num_gene_clusters	3659	int	default
OP8	total_length	6582979	int	default
OP8	gc_content	0.402908470466031	float	default
